511,"Winterthur, Blumenau",8573673,695928,262594
513,"Kindhausen ZH, Bodenacher",8576133,693708,251214
514,"Adliswil, Bodenacker",8590466,681564,241183
515,"Rüschlikon, Bodengasse",8590773,684240,240547
516,"Küsnacht ZH, Boglerenstrasse",8576208,686455,242340
517,"Männedorf, Boldernstrasse",8576089,695438,234969
518,"Wädenswil, Boller",8590854,694161,230826
519,"Jona, Bollwies",8578529,706307,231924
521,"Bonstetten-Wettswil, Bahnhof",8573726,677846,242243
524,"Uster, Bordacker",8588050,697508,245357
525,"Hinwil, Bossikon",8576008,703975,240714
527,"Kloten, Bramen",8580432,686000,255474
528,"Dietlikon, Brandbachstrasse",8590540,689501,252471
529,"Uster, Brandschenke",8503152,696097,246366
530,"Zürich, Brandschenkestrasse",8591095,682706,247080
532,"Dübendorf, Branzenäsch",8590551,690029,249999
533,"Weisslingen, Brauiweiher",8575931,699023,253556
534,"Freienstein, Breite",8573218,686021,265585
536,"Winterthur, Breite",8590925,697007,260740
538,"Wil ZH, Breitenmatt",8575121,680194,273440
539,"Dürnten, Breitenmattstrasse",8576073,708359,237291
541,"Kloten, Breitistrasse/Bahnhof",8590693,686393,255871
542,"Zürich, Bristenstrasse",8591097,679158,249334
544,"Fällanden, Bruggacher",8590604,690173,247811
546,"Zürich, Brunau/Mutschellenstr.",8591098,682238,245492
547,"Zürich, Brunaustrasse",8591100,682620,245607
548,"Fahrweid, Brunaustrasse",8590602,673612,251969
549,"Hinwil, Brunnenbachstrasse",8576009,704467,240311
550,"Schlieren, Brunngasse",8590788,676205,250008
551,"Winterthur, Brunngasse",8590930,696963,262634
552,"Winterthur, Brücke",8590926,698407,261895
554,"Winterthur, Brühleck",8590929,696332,261586
556,"Effretikon, Brüttenerstrasse",8588311,694105,254212
558,"Oetwil am See, Buacher",8575963,697323,236105
560,"Bubikon, Bahnhof",8576102,704723,236452
562,"Buch am Irchel, Post",8573684,689087,267007
564,"Zürich, Bucheggplatz",8591101,682635,250308
566,"Wetzikon ZH, Buchgrindel",8576001,702107,242873
567,"Kloten, Buchhalden",8590694,687252,255507
571,"Tagelswangen, Buckstrasse",8575938,693120,254391
573,"Zürich, Buhnstrasse",8591103,683025,252965
574,"Meilen, Bundi",8588019,692932,237420
577,"Richterswil, Burghalden",8576115,694876,229241
579,"Uster, Burgstrasse",8581542,696834,244371
580,"Zürich, Burgwies",8591104,685612,245859
581,"Wädenswil, Burstel",8573581,689877,231185
583,"Pfäffikon ZH, Bussenhausen",8503562,701434,247739
584,"Bäretswil, Bussental",8503219,707280,245331
585,"Jona, Busskirchstrasse",8588035,705650,231078
586,"Zürich, Butzenstrasse",8591106,682499,243968
589,"Kilchberg, Bächlerstrasse",8590672,683220,242602
590,"Oberembrach, Bächli",8573227,687933,260996
592,"Zürich, Bändliweg",8591068,678994,250030
593,"Elsau, Bännebrett",8580260,701362,262328
594,"Zürich, Bärenbohlstrasse",8591069,680793,253310
595,"Wettswil a. A., Dettenbühl",8579434,678291,243499
597,"Bäretswil, Bahnhof",8575987,706757,243920
598,"Wettswil a. A., Bäumlisächer",8573712,677948,244000
599,"Winterthur, Bäumliweg",8590922,698403,262082
600,"Thalwil, Böhni",8590815,685232,237718
601,"Zürich, Börsenstrasse",8591093,683170,246953
602,"Adliswil, Büchel",8590467,681941,239492
603,"Turbenthal, Büel",8573655,709140,253623
605,"Männedorf, Büelen",8576087,694485,235371
607,"Wädenswil, Büelen",8590855,692582,232019
608,"Gossau ZH, Bühlgasse",8576017,699798,240122
609,"Winkel, Bühlhof",8503857,684574,259769
610,"Küsnacht ZH, Bühlstrasse",8576206,686241,242965
611,"Bülach, Bahnhof",8503702,682768,264116
615,"Zürich, Bürkliplatz",8591105,683250,246773
617,"Zürich, Carl-Spitteler-Str.",8591107,686724,245909
619,"Zürich, Central",8588078,683475,247920
621,"Hochfelden, Chalchofen",8573253,680178,264178
622,"Horgen, Waldegg",8503899,688555,233352
623,"Wädenswil, Chalchtaren",8573572,691024,231744
624,"Wermatswil, Chammerholzstr.",8573505,698534,246801
625,"Kloten, Chanzler",8579969,686203,257999
626,"Volketswil, Chapf",8576132,693612,249873
628,"Meilen, Charrhalten",8588020,692680,236957
630,"Wettswil a. A., Langächer",8579497,677858,244155
631,"Winterthur, Chli-Hegi",8580261,701088,262484
632,"Volketswil, Volkiland Chliriet",8503154,692799,248622
635,"Dübendorf, Chriesmatt",8590553,689561,251194
636,"Volketswil, Chrummacher",8503155,694005,248399
637,"Richterswil, Chrummbächli",8576112,695413,229091
639,"Illnau, Chrummenacher",8575926,696654,251300
640,"Nürensdorf, Chrüzstrass",8576167,690190,256630
641,"Regensdorf, Chrüzächer",8576264,678061,253512
642,"Turbenthal, Chäfer",8573654,708387,252643
643,"Dübendorf, Claridenstrasse",8590555,689844,250020
645,"Wädenswil, Coop",8590856,693489,231718
646,"Dachsen, Bahnhof",8573455,688289,280268
647,"Uster, Dammstrasse",8588051,696466,245523
648,"Zürich, Dammweg",8591110,682130,249198
649,"Zürich, Dangelstrasse",8591111,682484,243205
650,"Winterthur, Depot",8580455,698349,261024
651,"Buch am Irchel, Desibach",8573682,690728,267530
652,"Weisslingen, Dettenried",8575932,700881,255302
653,"Winterthur, Deutweg",8573657,698181,261151
654,"Stallikon, Diebis",8573731,678414,244737
655,"Dielsdorf, Bahnhof",8573277,676901,259627
657,"Dietikon, Bahnhof",8587020,672905,251006
659,"Dietlikon, Bahnhof",8588314,689075,252842
661,"Saland, Dillhus",8573547,707350,248657
666,"Meilen, Dollikon",8576084,692644,235521
667,"Boppelsen, Dorf",8576238,672647,258166
668,"Bubikon, Dorf",8503195,704451,236199
670,"Hettlingen, Dorf",8503705,695633,267014
671,"Hinwil, Dorf",8576013,706217,240029
673,"Kleinandelfingen, Dorf",8573197,693627,272871
674,"Langnau am Albis, Dorf",8573160,683377,238108
676,"Lindau ZH, Dorf",8503377,692994,255251
677,"Marthalen, Dorf",8506879,691095,275885
678,"Maur, Dorf",8590713,693062,244024
679,"Niederhasli, Dorf",8573264,678918,259466
681,"Oberhasli, Dorf",8590729,680061,257712
684,"Schwerzenbach ZH, Dorf",8590806,691627,248449
686,"Stäfa, Dorf",8576062,698151,232860
687,"Uitikon, Dorf",8503699,676741,247112
688,"Volketswil, Dorf",8503150,694728,249511
689,"Weisslingen, Dorf",8503373,699961,254259
690,"Wettswil a. A., Dorf",8503692,678259,243517
691,"Wiesendangen, Dorf",8576230,701799,264257
693,"Horgen, Dorfgasse",8590651,687824,235004
694,"Zürich, Dorflinde",8591112,683792,251328
695,"Bauma, Dorfmitti",8575993,708621,247213
696,"Oberlunkhofen, Dorfplatz",8573723,671972,240499
697,"Rorbas, Dorfplatz",8573219,685888,264953
699,"Wangen b D'dorf, Dorfplatz",8590901,691114,251769
701,"Geroldswil, Dorfstrasse",8590614,673536,252571
704,"Dielsdorf, Dorfzentrum",8576283,676507,259452
705,"Zumikon, Dorfzentrum",8576226,689528,243112
706,"Horgen, Risi/Dow",8590657,689269,234022
707,"Rüti ZH, Drei Eichen",8588038,707328,234580
708,"Zürich, Dreispitz",8591113,685173,251721
709,"Regensdorf, Dreispitz",8576269,677402,254676
710,"Embrach, Dreispitz",8506892,687020,262768
711,"Zürich, Dreiwiesen",8591114,685864,248176
713,"Zürich, Drusbergstrasse",8591115,686135,246125
715,"Zollikon, Dufourplatz",8576203,685700,243904
716,"Zürich, Dunkelhölzli",8591116,677876,249185
718,"Zürich, Duttweilerbrücke",8591117,680824,249403
720,Dällikon,8576272,675482,254808
722,Dänikon,8576273,673025,255460
723,Dättlikon,8576149,689091,264511
724,"Winterthur, Steigmühle",8506961,695297,259279
725,"Dietikon, Dörfli",8590513,673071,250405
726,"Dübendorf, Bahnhof",8587653,689416,250582
728,"Dietlikon, Dübendorferstrasse",8590542,689122,252081
729,"Bergdietikon, Dünni",8590203,672058,249763
735,"Zürich, ETH Hönggerberg",8591122,680689,251423
736,"Zürich, ETH/Universitätsspital",8591123,683847,247909
738,Ebmatingen,8591828,690846,245200
739,"Thalwil, Ebnet",8503791,684614,238100
740,"Elsau, Ebnet",8580257,702660,262133
742,"Stäfa, Echtlenbach",8587686,696982,233665
743,"Unterengstringen, Eckstein",8590832,676258,251565
744,"Effretikon, Bahnhof",8575918,694127,253452
745,Egetswil,8579968,686397,258277
748,"Oberengstringen, Eggbühl",8590725,678156,251038
750,"Fällanden, Eggler",8590605,690337,247438
752,"Eglisau, Bahnhof",8587679,681078,269658
753,"Dübendorf, Eglishölzli",8590556,689998,251245
754,Ehrikon,8573514,703418,252959
755,"Hombrechtikon, Eichberg",8575967,700999,234005
757,"Kindhausen AG, Eichholz",8590241,671101,249704
758,"Meilen, Eichholz",8587981,689683,237470
759,"Oetwil am See, Eichholzstrasse",8576024,698407,236172
760,"Glattfelden, Eichhölzli",8575953,680386,267741
761,"Volketswil, Eichstrasse",8576131,693886,250077
763,"Hombrechtikon, Eichtal",8575968,701383,234036
764,"Wädenswil, Eichweid",8590857,693702,230455
765,"Winterthur, Eidberg",8573666,702247,258996
767,"Zürich, Einfangstrasse",8591118,681072,252209
769,"Zürich, Elektrowatt",8576194,683979,245812
770,"Elgg, Bahnhof",8581613,707335,261824
771,Ellikon an der Thur,8580761,704291,268944
772,"Elsau, Dorf",8580258,702711,262443
774,"Embrach-Rorbas, Bahnhof",8573223,686493,263962
775,"Embrach, Embraport",8573222,687018,263701
778,"Glattfelden, Emmerstrasse",8575951,680049,267955
781,"Horgen, Enderholz",8503867,688757,231218
782,"Winterthur, Endliker",8580456,699046,260529
786,"Zürich Enge Hafen, Schiffst.",8503449,682985,245946
787,"Buchberg, Engel",8580289,684578,269696
788,"Zürich, Englischviertelstrasse",8591119,684564,246813
792,"Dielsdorf, Erlen",8573265,677855,259708
794,"Erlenbach ZH, Bahnhof",8587965,687147,240063
795,"Erlenbach ZH, Schiffstation",8503659,687010,239766
799,"Zürich, Escher-Wyss-Platz",8580522,681833,249448
800,"Zürich, Eschergutweg",8591121,681035,250048
801,"Lindau ZH, Eschikon",8575941,693791,255988
802,"Effretikon, Eselriet",8503370,695255,253323
803,"Pfungen, Eskimo",8576148,690276,263841
804,"Esslingen, Bahnhof",8503198,696180,238214
806,"Kempten, Emmetschloo",8575983,705343,242577
808,"Kyburg, Ettenhusen",8575948,697930,256165
809,"Winterthur, Etzberg",8590937,699524,260939
811,"Dürnten, Etzelstrasse",8576070,706110,237230
814,"Winterthur, Fachschule",8590938,694527,261907
815,"Fahrweid, Au",8591829,673635,251661
816,"Pfäffikon ZH, Faichrüti",8503566,699745,246281
819,"Faltigberg ZH, Höhenklinik",8503751,713803,237260
821,"Zürich, Farbhof",8590318,678553,249415
822,"Fehraltorf, Bahnhof",8573507,699016,249117
824,"Zollikon, Felbenstrasse",8576202,685467,244210
825,"Wädenswil, Feld",8573570,692869,229910
829,"Feldbach, Bahnhof",8575971,701790,232894
830,"Adliswil, Feldblumenstrasse",8590469,681698,240975
831,"Urdorf, Feldegg",8590837,674647,249468
832,"Zürich, Feldeggstrasse",8576197,684126,246107
833,"Pfaffhausen, Feldhof",8590751,689245,246585
835,"Jona, Feldli",8578530,706578,231972
836,"Jona, Feldlistrasse",8591726,706600,231850
838,"Schlieren, Feldstrasse",8590790,676182,250779
839,"Winterthur, Feldtal",8590939,695668,262710
840,"Zürich, Fellenbergstrasse",8591126,679282,247739
842,"Herrliberg, Felsenau",8587995,688427,238197
843,"Felsenegg, Bergstation LAF",8503081,680816,240468
844,"Oetwil am See, Felsengrund",8503163,696557,237543
845,"Zürich, Felsenrainstrasse",8591127,683540,252342
852,"Zürich, Feusisbergli",8591130,677940,249606
856,"Fischenthal, Bahnhof",8587933,712152,243587
857,"Zürich, Fischerweg",8591131,681045,249748
859,"Zürich, Flobotstrasse",8591132,685287,248363
863,"Dübendorf, Flugplatz",8590558,689733,250853
867,"Zürich, Flurstrasse",8591134,679542,248391
868,"Zürich, Flühgasse",8591133,685444,245016
870,"Herrliberg, Forchstrasse",8587996,689465,238018
872,"Zürich, Frankental",8591136,678706,251065
875,"Turbenthal, Freckmünd",8573645,709612,252539
879,"Kloten, Freienberg",8573232,686301,257559
882,"Grüningen, Freihof",8576022,699918,237184
883,"Zürich, Freihofstrasse",8591138,680098,248585
884,"Zürich, Freilagerstrasse",8591139,679536,248083
886,Freudwil,8503988,697864,247927
887,"Turbenthal, Fridtal",8573517,705537,255428
888,"Zürich, Friedackerstrasse",8591140,684126,251166
889,"Winterthur, Friedhof",8573693,696644,263347
890,"Wetzikon ZH, Friedhof",8575998,703694,242714
891,"Hinwil, Friedhof",8576047,706698,239827
893,"Zürich, Friedhof Eichbühl",8591141,678223,248521
894,"Zürich, Friedhof Enzenbühl",8591142,686259,245085
895,"Zürich, Friedhof Hönggerberg",8591143,679664,251438
896,"Zürich, Friedhof Schwandenholz",8591144,682937,252863
897,"Zürich, Friedhof Sihlfeld",8591145,680979,247786
898,"Zürich, Friedhof Uetliberg",8591146,680228,245860
899,"Zürich, Friedhof Witikon",8591147,687945,246263
900,"Wädenswil, Forschungsanstalt",8590858,693625,230815
901,"Zürich, Friedrichstrasse",8591148,685327,250961
902,"Zürich, Friesenberg",8591149,680778,246488
903,"Zürich, Friesenberghalde",8591150,680360,246130
904,"Zürich, Friesenbergstrasse",8591151,680562,246238
908,"Zürich, Frohburg",8591152,684824,250979
909,"Glattbrugg, Frohbühlstrasse",8590621,684405,253634
910,"Wädenswil, Frohmatt",8590859,692702,231687
914,"Zürich, Fronwald",8591153,680845,252902
915,"Adetswil, Frowiesstrasse",8575988,706210,244032
916,"Zürich, Frymannstrasse",8591154,681665,243259
917,"Zürich, Fröhlichstrasse",8576199,684486,245526
918,"Hittnau, Furt",8573541,703686,246441
919,"Regensdorf, Furtbächli",8576278,677541,255363
924,"Fällanden, Schiffstation",8530647,691700,246818
925,"Samstagern, Fälmis",8576123,693888,227304
926,"Hettlingen, Föhrenstrasse",8573697,696005,267236
927,"Zürich, Förrlibuckstrasse",8591135,681427,249602
930,"Rheinau, Galgenbuck",8573434,688718,276955
931,"Stallikon, Gamlikon",8503694,679743,240569
933,"Küsnacht ZH, Gartenstrasse",8590701,686871,240705
934,"Herrliberg, Gartenstrasse",8587998,688809,237874
935,"Schlieren, Gasometerbrücke",8590791,677150,250145
936,"Winterthur, Gaswerk",8590945,695860,261135
938,"Gattikon, Gattikerhof",8573162,683756,237529
939,"Gattikon, Gattikerhöhe",8573163,684460,237801
940,Gattikon,8502776,684161,237687
942,"Kindhausen ZH, Geeren",8503350,694007,251578
943,"Watt, Geerenweg",8576248,678345,254767
944,"Zürich, Geeringstrasse",8591155,678622,252036
945,"Horgen, Gehren",8588984,688035,234091
947,"Fällanden, Gemeindehaus",8590606,690748,247469
948,"Weiningen ZH, Gemeindehaus",8590912,674982,252500
949,"Neerach, Gemeindehaus",8573235,677812,262753
950,"Weiach, Gemeindehaus",8573247,675157,267806
951,"Embrach, Gemeindehaus",8506889,687113,261935
952,"Steinmaur, Gemeindehaus",8573274,676111,260825
953,"Wil ZH, Gemeindehaus",8576291,680404,273274
954,"Wasterkingen, Gemeindehaus",8576296,677528,271553
955,"Wiesendangen, Gemeindehaus",8576232,701645,264396
957,"Kyburg, Gemeindehaus",8503375,698471,257086
958,"Bassersdorf, Gemeindehaus",8576161,689790,255432
960,"Wald ZH, Gemeindehaus",8573599,711663,237126
961,"Zollikon, Gemeindehaus",8576185,685950,243944
963,"Brüttisellen, Gsellhof",8590507,689871,253004
964,"Höri, Gemeindehaus",8503782,680729,262490
965,"Illnau, Gemeindehaus",8575922,696641,252348
966,"Zwillikon, Gemeindeplatz",8502883,675166,237853
969,"Höri, Gentert",8573260,681112,262644
971,"Zürich, Germaniastrasse",8591156,684105,249093
973,"Bülach, Gewerbehaus",8580583,682931,263709
974,"Winterthur, Gewerbeschule",8580458,697573,261554
975,"Thalwil, Gewerbestrasse",8590817,685311,237904
976,"Sternenberg, Gfell",8503627,712844,249005
977,"Dübendorf, Gfenn",8590559,691263,249841
979,"Zürich, Giblenstrasse",8591158,679044,251629
980,"Gibswil, Bahnhof",8587936,711668,241384
982,"Wädenswil, Giessen",8590860,694228,231051
983,"Winterthur, Industriepark",8590964,699697,262017
984,"Bauma, Giess. Wolfensberger",8575992,708255,246840
986,"Hinwil, Girenbad",8503365,708371,240838
987,Girenbad bei Turbenthal,8573672,706177,256692
988,"Effretikon, Girhalde",8575946,694516,254484
989,"Wädenswil, Gisenrüti",8503868,691604,229746
990,"Dietikon, Gjuchstrasse",8590218,672053,251227
992,"Glattbrugg, Zentrum",8590631,685030,254230
994,"Glattbrugg, Bahnhof",8590620,684526,253970
996,"Glattfelden, Bahnhof",8575955,681707,267013
998,"Zürich, Glattwiesen",8591159,686289,250715
1000,"Zürich, Glaubtenstrasse",8591160,681558,252037
1001,"Wädenswil, Glärnisch",8590861,693077,231735
1002,"Horgen, Glärnischhof",8590652,688609,234390
1003,"Männedorf, Glärnischstrasse",8576027,695668,234394
1004,"Adliswil, Glärnischstrasse",8590471,681432,241609
1005,"Dübendorf, Glärnischstrasse",8590562,689934,250173
1006,"Gockhausen, Dorf",8591831,687553,248555
1007,"Zürich, Goldackerweg",8591163,679251,247313
1008,"Zürich, Goldauerstrasse",8591164,683928,248969
